user_id,name,affiliation,prev_rank,p_wins,p_win_pct,season_hits,week0_rank,week1_hits,week1_rate,week1_rank,week2_hits,week2_rate,week2_rank,week3_hits,week3_rate,week3_rank,week4_hits,week4_rate,week4_rank,week5_hits,week5_rate,week5_rank,week6_hits,week6_rate,week6_rank,week7_hits,week7_rate,week7_rank,week8_hits,week8_rate,week8_rank,week9_hits,week9_rate,week9_rank,week10_hits,week10_rate,week10_rank,week11_hits,week11_rate,week11_rank,week12_hits,week12_rate,week12_rank,week13_hits,week13_rate,week13_rank,week14_hits,week14_rate,week14_rank,week15_hits,week15_rate,week15_rank,week16_hits,week16_rate,week16_rank,week17_hits,week17_rate,week17_rank
33,Tom Jackson,ESPN,1,0,0,175,135.0,12,18.0,11.0,9,15.75,3.0,10,14.666666666666668,37.0,8,13.875,38.0,12,15.1,23.0,10,16.083333333333332,48.0,12,16.214285714285715,13.0,8,15.0625,40.0,8,12.944444444444445,97.0,9,13.4,77.0,9,13.863636363636363,26.0,13,16.0,3.0,10,16.5,9.0,12,16.07142857142857,21.0,11,16.6,49.0,11,16.125,30.0,11,16.147058823529413,20.0
110,Pickwatch Fan Picks,Pickwatch,1,0,0,178,135.0,11,16.5,23.0,7,13.5,53.0,11,13.833333333333332,69.0,8,14.125,29.0,13,15.5,13.0,12,17.666666666666668,1.0,10,16.142857142857142,18.0,9,14.5625,63.0,10,14.555555555555555,30.0,10,15.05,11.0,8,13.954545454545453,20.0,12,15.041666666666668,27.0,11,16.576923076923077,7.0,12,16.642857142857142,8.0,13,17.733333333333334,10.0,10,16.71875,14.0,11,15.735294117647058,37.0
145,Bill Lekas,Sirius,1,0,0,167,135.0,11,16.5,23.0,9,15.0,16.0,11,15.166666666666668,20.0,7,13.75,46.0,11,13.9,69.0,10,15.416666666666668,73.0,9,14.357142857142858,79.0,6,12.125,120.0,8,11.555555555555555,119.0,10,13.6,67.0,6,12.454545454545453,93.0,11,13.041666666666668,104.0,11,15.615384615384615,47.0,13,16.75,5.0,13,17.866666666666667,9.0,9,15.84375,45.0,12,15.411764705882353,59.0
29,Gordon McGuinness,ProFootballFocus,1,0,0,174,135.0,11,16.5,23.0,8,14.25,39.0,11,14.5,42.0,9,14.875,12.0,12,15.6,10.0,11,16.666666666666668,21.0,12,16.785714285714285,3.0,11,16.8125,1.0,10,15.777777777777779,4.0,10,15.25,7.0,7,13.59090909090909,41.0,13,15.208333333333332,21.0,11,17.23076923076923,3.0,7,14.107142857142858,97.0,11,14.133333333333333,115.0,8,14.5625,93.0,12,15.117647058823529,69.0
149,Peter Schrager,FOX,1,0,0,163,135.0,11,16.5,23.0,5,12.0,96.0,12,13.166666666666668,89.0,9,15.125,8.0,11,14.8,35.0,10,15.333333333333332,77.0,10,14.857142857142858,67.0,11,15.4375,24.0,10,15.444444444444445,10.0,8,13.85,49.0,7,12.227272727272727,101.0,9,12.708333333333332,115.0,9,13.692307692307693,110.0,10,14.214285714285715,93.0,11,15.266666666666666,94.0,10,15.28125,73.0,10,14.794117647058822,85.0
57,Gregg Rosenthal,NFL,1,0,0,174,135.0,11,16.5,23.0,10,15.75,3.0,11,15.833333333333332,8.0,6,13.25,65.0,12,14.0,64.0,9,15.416666666666668,73.0,10,14.428571428571429,78.0,9,14.375,74.0,9,13.833333333333332,62.0,9,13.8,55.0,8,13.227272727272727,58.0,12,14.833333333333332,42.0,11,16.384615384615387,17.0,12,16.464285714285715,14.0,13,17.566666666666666,19.0,10,16.5625,19.0,12,16.11764705882353,24.0
45,Brad Gagnon,Bleacher Report,1,0,0,173,135.0,11,16.5,23.0,9,15.0,16.0,11,15.166666666666668,20.0,7,13.75,46.0,11,13.9,69.0,9,14.833333333333332,90.0,11,14.928571428571429,66.0,12,16.5625,4.0,7,14.38888888888889,41.0,10,13.4,77.0,7,13.272727272727273,55.0,13,14.916666666666668,36.0,10,16.423076923076923,13.0,11,15.464285714285715,39.0,13,17.066666666666666,37.0,10,16.5625,19.0,11,15.588235294117647,47.0
88,Mike Golic,ESPN,1,0,0,160,135.0,11,16.5,23.0,5,12.0,96.0,12,13.166666666666668,89.0,5,12.625,85.0,12,13.0,96.0,10,15.583333333333332,68.0,7,12.928571428571429,116.0,9,12.4375,118.0,8,12.88888888888889,98.0,9,12.9,104.0,8,12.863636363636363,78.0,11,13.958333333333332,76.0,11,15.538461538461538,49.0,11,15.607142857142858,33.0,11,15.666666666666668,84.0,9,14.65625,90.0,11,14.705882352941178,92.0
159,FOX.com Editors,FOX,1,0,0,155,135.0,11,16.5,23.0,6,12.75,73.0,11,13.166666666666668,89.0,8,14.0,34.0,12,14.8,35.0,8,14.666666666666668,94.0,9,13.142857142857142,109.0,7,12.5,116.0,7,11.38888888888889,120.0,8,11.85,118.0,7,11.772727272727273,110.0,10,12.833333333333332,110.0,9,13.846153846153847,108.0,13,15.5,37.0,11,16.566666666666666,51.0,8,14.03125,105.0,10,13.558823529411764,117.0
63,NFL.com Fan Picks,NFL,1,0,0,173,135.0,11,16.5,23.0,7,13.5,53.0,11,13.833333333333332,69.0,7,13.5,55.0,12,14.3,54.0,11,16.416666666666668,35.0,10,15.428571428571429,49.0,10,14.9375,47.0,9,14.38888888888889,41.0,10,14.4,31.0,8,13.818181818181818,32.0,13,15.458333333333332,11.0,10,16.46153846153846,12.0,12,16.035714285714285,23.0,13,17.633333333333333,13.0,8,15.5625,59.0,11,14.588235294117647,96.0
27,Steve Palazzolo,ProFootballFocus,1,0,0,168,135.0,11,16.5,23.0,8,14.25,39.0,11,14.5,42.0,8,14.25,23.0,12,15.0,28.0,10,16.0,52.0,11,15.571428571428571,44.0,8,14.4375,67.0,9,13.38888888888889,82.0,10,14.4,31.0,8,13.818181818181818,32.0,10,13.833333333333332,81.0,9,14.307692307692307,96.0,10,14.321428571428571,89.0,13,16.433333333333334,55.0,9,15.90625,43.0,11,14.941176470588236,79.0
112,Expert Consensus,Pickwatch,1,0,0,174,135.0,11,16.5,23.0,7,13.5,53.0,11,13.833333333333332,69.0,8,14.125,29.0,12,14.9,29.0,11,16.5,31.0,11,16.07142857142857,23.0,9,15.0,45.0,10,14.5,36.0,10,15.0,13.0,8,13.90909090909091,23.0,11,14.458333333333332,55.0,10,15.461538461538462,55.0,11,15.5,37.0,12,16.566666666666666,51.0,10,16.0625,33.0,12,16.11764705882353,24.0
19,Dave Dameshek,NFL,1,0,0,177,135.0,11,16.5,23.0,9,15.0,16.0,11,15.166666666666668,20.0,7,13.75,46.0,12,14.5,43.0,11,16.583333333333332,26.0,10,15.571428571428571,44.0,10,15.0625,40.0,9,14.5,36.0,9,13.95,46.0,10,14.454545454545453,5.0,10,14.958333333333332,33.0,12,16.03846153846154,26.0,12,17.107142857142858,1.0,12,17.166666666666668,35.0,9,15.625,57.0,13,16.205882352941178,16.0
66,Sam Monson,ProFootballFocus,1,0,0,162,135.0,10,15.0,57.0,6,12.0,96.0,10,12.333333333333332,106.0,9,13.875,38.0,13,15.8,6.0,8,15.166666666666668,81.0,10,13.714285714285715,97.0,10,14.75,54.0,9,14.222222222222221,48.0,8,13.15,87.0,6,11.5,116.0,12,13.625,92.0,9,15.115384615384615,72.0,12,15.214285714285715,50.0,9,15.2,96.0,9,13.6875,108.0,12,15.264705882352942,64.0
