user_id,name,affiliation,prev_rank,p_wins,p_win_pct,season_hits,week0_rank,week1_hits,week1_rate,week1_rank,week2_hits,week2_rate,week2_rank,week3_hits,week3_rate,week3_rank,week4_hits,week4_rate,week4_rank,week5_hits,week5_rate,week5_rank,week6_hits,week6_rate,week6_rank,week7_hits,week7_rate,week7_rank,week8_hits,week8_rate,week8_rank,week9_hits,week9_rate,week9_rank,week10_hits,week10_rate,week10_rank,week11_hits,week11_rate,week11_rank,week12_hits,week12_rate,week12_rank,week13_hits,week13_rate,week13_rank,week14_hits,week14_rate,week14_rank,week15_hits,week15_rate,week15_rank,week16_hits,week16_rate,week16_rank,week17_hits,week17_rate,week17_rank
51,Jamey Eisenberg,CBS,1,180,67.925,157,1.0,9,13.5,101.0,12,15.75,55.0,9,15.0,65.0,7,13.875,64.0,7,13.200000000000001,76.0,5,12.25,89.0,9,12.42857142857143,85.0,13,13.3125,78.0,6,12.777777777777779,82.0,5,11.725,88.0,11,12.102272727272727,86.0,10,12.541666666666668,85.0,10,12.971153846153847,73.0,12,13.964285714285715,43.0,10,14.125,46.0,11,13.9375,37.0,11,14.617647058823529,19.0
106,Pete Prisco,CBS,2,179,67.547,152,2.0,9,13.5,101.0,10,14.25,87.0,10,14.5,79.0,8,13.875,64.0,6,12.899999999999999,83.0,4,11.75,94.0,9,12.0,90.0,13,12.9375,85.0,8,12.777777777777779,82.0,7,12.325,71.0,9,12.227272727272727,81.0,9,12.375,87.0,9,12.76923076923077,82.0,11,13.732142857142858,58.0,10,13.9,60.0,9,13.40625,69.0,11,13.845588235294118,57.0
27064,Mitch Goldich,MMQB,3,178,67.17,164,3.0,10,15.0,83.0,11,15.75,55.0,11,16.0,31.0,7,14.625,31.0,10,14.700000000000001,14.0,9,14.5,10.0,10,14.57142857142857,7.0,13,15.1875,7.0,9,15.0,3.0,3,13.65,17.0,10,13.556818181818182,31.0,9,13.791666666666668,37.0,8,13.490384615384615,45.0,12,13.964285714285715,43.0,11,14.141666666666666,44.0,10,13.78125,47.0,11,14.073529411764707,42.0
76,Nathan Jahnke,ProFootballFocus,4,177,66.792,169,6.0,11,16.5,57.0,11,16.5,28.0,10,16.0,31.0,6,14.25,51.0,8,13.799999999999999,49.0,9,13.75,34.0,9,13.714285714285714,36.0,13,14.4375,35.0,8,13.972222222222221,42.0,3,12.65,58.0,14,13.386363636363637,41.0,13,14.416666666666668,11.0,11,14.846153846153847,3.0,12,15.303571428571429,3.0,10,15.433333333333334,3.0,11,15.21875,3.0,10,15.470588235294118,1.0
98,Dave Richard,CBS,4,177,66.792,151,6.0,9,13.5,101.0,11,15.0,72.0,12,16.0,31.0,6,14.25,51.0,7,13.5,63.0,5,12.5,79.0,8,12.42857142857143,85.0,12,13.125,82.0,7,12.777777777777779,82.0,3,11.5,89.0,9,11.170454545454547,91.0,11,11.916666666666668,91.0,7,11.865384615384615,90.0,12,12.875,86.0,10,13.175,85.0,11,13.125,80.0,11,13.691176470588236,63.0
172,OddsShark,Oddsshark,4,177,66.792,146,6.0,10,15.0,83.0,9,14.25,87.0,8,13.5,96.0,5,12.0,98.0,8,12.0,95.0,9,12.25,89.0,10,12.642857142857142,79.0,0,11.0625,94.0,9,11.027777777777779,92.0,9,11.1,91.0,9,11.28409090909091,90.0,11,12.166666666666668,89.0,9,12.326923076923077,88.0,12,12.839285714285715,87.0,9,12.733333333333334,88.0,9,13.875,44.0,10,14.044117647058822,44.0
110,Pickwatch Fan Picks,Pickwatch,5,176,66.415,163,7.0,11,16.5,57.0,10,15.75,55.0,10,15.5,49.0,7,14.25,51.0,9,14.100000000000001,40.0,9,14.0,27.0,9,13.92857142857143,30.0,13,14.625,29.0,8,14.152777777777779,37.0,4,13.125,42.0,12,13.511363636363637,36.0,11,14.083333333333332,23.0,8,13.903846153846153,31.0,11,14.214285714285715,31.0,11,14.516666666666666,23.0,10,14.15625,26.0,10,14.419117647058822,26.0
66,Sam Monson,ProFootballFocus,6,175,66.038,155,8.0,10,15.0,83.0,11,15.75,55.0,10,15.5,49.0,7,14.25,51.0,8,13.799999999999999,49.0,6,13.0,60.0,10,13.285714285714286,52.0,13,14.0625,56.0,8,13.73611111111111,50.0,7,13.125,42.0,11,13.34090909090909,43.0,10,13.75,39.0,6,13.375,50.0,10,13.910714285714285,45.0,11,14.1,47.0,9,13.59375,63.0,8,13.558823529411764,68.0
111,Vegas Favorite,Vegas,7,174,66.16,166,9.0,11,16.5,57.0,10,15.75,55.0,10,15.5,49.0,7,14.25,51.0,9,14.100000000000001,40.0,9,14.0,27.0,11,14.357142857142858,14.0,13,15.0,16.0,8,14.51388888888889,18.0,5,13.65,17.0,12,14.022727272727273,8.0,10,14.416666666666668,11.0,7,14.067307692307693,25.0,12,14.535714285714285,22.0,10,14.425,28.0,10,14.0625,31.0,12,14.632352941176471,18.0
156,Sam Farmer,LosAngelesTimes,8,174,65.66,163,12.0,9,13.5,101.0,10,14.25,87.0,11,15.0,65.0,6,13.5,75.0,8,13.200000000000001,76.0,8,13.0,60.0,11,13.5,45.0,13,14.25,43.0,9,14.222222222222221,27.0,4,13.2,38.0,9,12.954545454545453,56.0,11,13.666666666666668,46.0,10,13.951923076923077,28.0,14,14.875,10.0,9,14.608333333333334,20.0,11,14.40625,17.0,10,14.544117647058822,21.0
